sep=;
Object;DCN;Description;Design Responsible;KOLA Time;Status;Fact No Time;Product Class;LinkID;Function Group;Suffix;Context;Usage;Partno;Part issue;Qty;Amount;UoM;Name;Variants;Added;Deleted;Parttype;Module;Safety Part;Direction;Old LinkID;New Link ID;AssyMark;AssyMark Fact
51-00783;K1615926;"PC 23 CABLE - INSTRUMENT PANEL / ROOF - VQX-U1X";00652;202405;Introduced;;=T("23");734320;3759;05;1;1;24107969;P03;00001;     ;001;WIRES;EL-GEN2B,UHWSS,VQX-U1X,ULSS;K1615926;        ;D;020-095-005;N;;;;=T("81");=T("22")
51-00794;K1620439;"PC23 - CLEAN UP OBSOLETE LINKS 2023";03776;202409;Introduced;;=T("23");583987;3758;05;1;2;23833870;P02;00001;     ;001;WIRES;STWPOS-L,BSYS-EBS,WIND-HF,PH-CAB4;K1495425;K1620439;D;020-085-010;N;;;;;
51-00794;K1620439;"PC23 - CLEAN UP OBSOLETE LINKS 2023";03776;202409;Introduced;;=T("23");583990;3758;05;1;3;23833890;P02;00001;     ;001;WIRES;STWPOS-R,BSYS-EBS,PH-CAB4;K1495425;K1620439;D;020-085-010;N;;;;;
51-00794;K1620439;"PC23 - CLEAN UP OBSOLETE LINKS 2023";03776;202409;Introduced;;=T("23");603085;871 ;01;2;1;23997662;P09;00001;     ;001;SENSOR;EL-GEN2B,PH-CAB4;K1545276;K1620439;D;090-045-   ;N;;;;;
51-00794;K1620439;"PC23 - CLEAN UP OBSOLETE LINKS 2023";03776;202409;Introduced;;=T("23");625024;3759;05;90;1;84550930;G02;00001;     ;;LPOS HARNESS             ;EL-GEN2,LSS-DW;K1545290;K1620439;5;020-095-005;;;;;;
51-00794;K1620439;"PC23 - CLEAN UP OBSOLETE LINKS 2023";03776;202409;Introduced;;=T("23");652466;374 ;12;90;4;22781682;G04;00001;     ;;W/H MF TPMS TXMB4827     ;FAA10,TXMB4827,1EX-U1X;K1566925;K1620439;5;020-010-060;;;;;;
51-00794;K1620439;"PC23 - CLEAN UP OBSOLETE LINKS 2023";03776;202409;Introduced;;=T("23");652467;374 ;12;90;4;22781682;G04;00001;     ;;W/H MF TPMS TXMB4827     ;FAA11,TXMB4827,1EX-U1X;K1566925;K1620439;5;020-010-060;;;;;;
51-00794;K1620439;"PC23 - CLEAN UP OBSOLETE LINKS 2023";03776;202409;Introduced;;=T("23");652469;374 ;12;90;4;22814465;G04;00001;     ;;W/H MF TPMS TXMB4827     ;FAA20,TXMB4827,1EX-U1X;K1566925;K1620439;5;020-010-060;;;;;;
51-00794;K1620439;"PC23 - CLEAN UP OBSOLETE LINKS 2023";03776;202409;Introduced;;=T("23");652470;374 ;12;90;4;22793602;G05;00001;     ;;W/H MF TPMS TXMB5027     ;FAA20,TXMB5027,1EX-U1X;K1566925;K1620439;5;020-010-060;;;;;;
51-00794;K1620439;"PC23 - CLEAN UP OBSOLETE LINKS 2023";03776;202409;Introduced;;=T("23");652471;3745;10;1;2;980464;P04;00001;     ;001;CABLE TIE;FAA10,FRFS-BS,TXMB4827,1EX-U1X;K1566925;K1620439;D;020-010-060;;;;;;
51-00794;K1620439;"PC23 - CLEAN UP OBSOLETE LINKS 2023";03776;202409;Introduced;;=T("23");652472;3745;10;1;2;980464;P04;00001;     ;001;CABLE TIE;FAA11,FRFS-BS,TXMB4827,1EX-U1X;K1566925;K1620439;D;020-010-060;;;;;;
51-00794;K1620439;"PC23 - CLEAN UP OBSOLETE LINKS 2023";03776;202409;Introduced;;=T("23");652473;3745;10;1;2;948211;P02;00001;     ;001;CABLE TIE;FAA10,FRFS-BS,TXMB4827,1EX-U1X;K1566925;K1620439;D;020-010-060;;;;;;
51-00794;K1620439;"PC23 - CLEAN UP OBSOLETE LINKS 2023";03776;202409;Introduced;;=T("23");652474;3745;10;1;2;948211;P02;00001;     ;001;CABLE TIE;FAA11,FRFS-BS,TXMB4827,1EX-U1X;K1566925;K1620439;D;020-010-060;;;;;;
51-00794;K1620439;"PC23 - CLEAN UP OBSOLETE LINKS 2023";03776;202409;Introduced;;=T("23");652475;3745;10;1;2;20519287;P02;00001;     ;001;RETAINER;FAA10,FRFS-BS,TXMB4827,1EX-U1X;K1566925;K1620439;D;020-010-060;;;;;;
51-00794;K1620439;"PC23 - CLEAN UP OBSOLETE LINKS 2023";03776;202409;Introduced;;=T("23");652476;3745;10;1;2;20519287;P02;00001;     ;001;RETAINER;FAA11,FRFS-BS,TXMB4827,1EX-U1X;K1566925;K1620439;D;020-010-060;;;;;;
